year,women,men,perc_women_all_degrees,perc_men_all_degrees,degree_type,ethniciy_race
1989,1838,1137,0.004599703,0.002845409,AS,native
1990,1953,1246,0.004641193,0.002961048,AS,native
1991,2309,1354,0.005112422,0.00299793,AS,native
1992,2400,1324,0.005145268,0.002838473,AS,native
1993,2622,1482,0.005441674,0.003075729,AS,native
1994,2939,1732,0.005898124,0.00347586,AS,native
1995,3273,1947,0.006590406,0.003920416,AS,native
1996,3317,1793,0.006648201,0.003593676,AS,native
1997,3683,1843,0.007236766,0.00362133,AS,native
1998,3793,2325,0.007394281,0.004532482,AS,native
1999,3717,1879,0.00743571,0.003758865,AS,native
2000,3862,1882,0.007595036,0.003701154,AS,native
2001,3958,1904,0.00763699,0.003673782,AS,native
2002,4105,1884,0.007875557,0.003614506,AS,native
2003,4272,2157,0.007715592,0.003895724,AS,native
2004,4690,2197,0.008264681,0.003871536,AS,native
2005,4913,2318,0.008103035,0.003823089,AS,native
2006,4997,2391,0.008073324,0.003862981,AS,native
2007,4877,2404,0.0077297,0.00381017,AS,native
2008,4902,2469,0.007632304,0.003844178,AS,native
2009,4686,2503,0.007074542,0.003778826,AS,native
2010,5325,2975,0.007540143,0.004212568,AS,native
2011,5028,2833,0.006807796,0.003835817,AS,native
2012,5361,3021,0.00662738,0.003734623,AS,native
2013,5614,2831,0.006773518,0.003415716,AS,native
2014,5561,2964,0.006533153,0.003482155,AS,native
2015,5427,2998,0.006150913,0.003397906,AS,native
2016,5405,2899,0.005957971,0.003195589,AS,native
2017,5238,2955,0.005695633,0.003213172,AS,native
1989,5566,5333,0.013929243,0.013346146,AS,pacificIslander
1990,6223,5472,0.014788604,0.013003895,AS,pacificIslander
1991,7475,6430,0.016550609,0.014236845,AS,pacificIslander
1992,7774,6150,0.016666381,0.013184749,AS,pacificIslander
1993,8124,6887,0.016860474,0.014293215,AS,pacificIslander
1994,9513,7458,0.019091139,0.014967068,AS,pacificIslander
1995,10671,8301,0.021486778,0.016714623,AS,pacificIslander
1996,11885,9046,0.023820881,0.018130727,AS,pacificIslander
1997,12855,9387,0.025258926,0.018444616,AS,pacificIslander
1998,12830,9591,0.025011502,0.018697219,AS,pacificIslander
1999,14151,9853,0.028308511,0.019710533,AS,pacificIslander
2000,14132,9976,0.02779209,0.019618872,AS,pacificIslander
2001,14119,10232,0.027242715,0.019742719,AS,pacificIslander
2002,15575,10686,0.02988107,0.020501388,AS,pacificIslander
2003,15434,10318,0.027875106,0.018635178,AS,pacificIslander
2004,15922,10512,0.028057624,0.018524164,AS,pacificIslander
2005,16741,11080,0.027611015,0.018274299,AS,pacificIslander
2006,17685,11642,0.02857249,0.018809213,AS,pacificIslander
2007,18352,12842,0.029086621,0.020353661,AS,pacificIslander
2008,19096,13103,0.029732044,0.020401077,AS,pacificIslander
2009,19677,14175,0.029706737,0.021400264,AS,pacificIslander
2010,20723,14902,0.029343547,0.021101073,AS,pacificIslander
2011,19555,13908,0.02647702,0.018831112,AS,pacificIslander
2012,20883,15056,0.025815998,0.01861254,AS,pacificIslander
2013,21832,16091,0.02634119,0.019414442,AS,pacificIslander
2014,22434,16979,0.026355826,0.019947204,AS,pacificIslander
2015,24119,18231,0.027336259,0.020662852,AS,pacificIslander
2016,25551,19756,0.028165055,0.021777184,AS,pacificIslander
2017,26874,21077,0.029221923,0.022918452,AS,pacificIslander
1989,17704,9826,0.044305302,0.024590143,AS,black
1990,18239,10098,0.04334394,0.023997319,AS,black
1991,21056,11453,0.046620687,0.025358412,AS,black
1992,22279,11562,0.047763095,0.024787329,AS,black
1993,24101,12708,0.05001899,0.026374064,AS,black
1994,25436,14513,0.05104617,0.029125376,AS,black
1995,26502,13880,0.053363564,0.027948316,AS,black
1996,28870,14664,0.057863597,0.029390779,AS,black
1997,31178,15306,0.061261983,0.030074922,AS,black
1998,31844,15943,0.06207843,0.031080154,AS,black
1999,32474,15329,0.064962941,0.030665053,AS,black
2000,32777,17040,0.064459478,0.033510984,AS,black
2001,34927,17543,0.067391904,0.033849348,AS,black
2002,36407,16586,0.069847842,0.031820702,AS,black
2003,40307,19198,0.072797841,0.034673207,AS,black
2004,42761,17753,0.075353099,0.031284198,AS,black
2005,45955,20228,0.07579381,0.033362141,AS,black
2006,47043,20868,0.076004278,0.033715054,AS,black
2007,46959,21442,0.074426691,0.033984052,AS,black
2008,47580,22080,0.074080994,0.034378065,AS,black
2009,48276,22727,0.072883186,0.03431138,AS,black
2010,51959,25297,0.073573391,0.035820283,AS,black
2011,55480,26132,0.075118642,0.035382126,AS,black
2012,62639,29605,0.077435633,0.036598316,AS,black
2013,62101,30519,0.074927366,0.036822407,AS,black
2014,64059,32502,0.075257549,0.038183875,AS,black
2015,66353,34489,0.075203897,0.039089524,AS,black
2016,69384,35762,0.076482493,0.039420715,AS,black
2017,69305,35500,0.075360027,0.038601558,AS,black
1989,9748,7474,0.024394944,0.018704125,AS,hispanic_latino
1990,10609,7893,0.025211682,0.018757263,AS,hispanic_latino
1991,13263,9221,0.029365984,0.020416478,AS,hispanic_latino
1992,13822,9175,0.029632456,0.019669931,AS,hispanic_latino
1993,15296,10492,0.031745175,0.021774999,AS,hispanic_latino
1994,16829,10921,0.033773234,0.02191678,AS,hispanic_latino
1995,18215,13206,0.036677131,0.026591171,AS,hispanic_latino
1996,19515,12483,0.039113547,0.025019442,AS,hispanic_latino
1997,21874,13902,0.042980455,0.027316188,AS,hispanic_latino
1998,23370,14869,0.045558753,0.02898644,AS,hispanic_latino
1999,25295,14709,0.050601638,0.029424768,AS,hispanic_latino
2000,26056,15317,0.051241912,0.03012252,AS,hispanic_latino
2001,28902,16910,0.055766622,0.03262797,AS,hispanic_latino
2002,30521,17035,0.058555387,0.032682121,AS,hispanic_latino
2003,32984,18107,0.059571886,0.032702769,AS,hispanic_latino
2004,35709,19053,0.06292612,0.033575047,AS,hispanic_latino
2005,39141,20617,0.064555446,0.034003721,AS,hispanic_latino
2006,40486,21579,0.065410565,0.03486377,AS,hispanic_latino
2007,42443,23100,0.067269151,0.036611865,AS,hispanic_latino
2008,45126,24605,0.070260171,0.038309434,AS,hispanic_latino
2009,47374,26645,0.071521419,0.040226458,AS,hispanic_latino
2010,53390,30622,0.075599671,0.043360426,AS,hispanic_latino
2011,59554,34385,0.080634744,0.046556498,AS,hispanic_latino
2012,70778,41603,0.087497234,0.051430493,AS,hispanic_latino
2013,76011,45887,0.091710343,0.05536452,AS,hispanic_latino
2014,83695,51138,0.098326239,0.060077749,AS,hispanic_latino
2015,93926,57508,0.106454889,0.065179053,AS,hispanic_latino
2016,106604,65300,0.117510373,0.07198067,AS,hispanic_latino
2017,116696,70086,0.126891476,0.076209262,AS,hispanic_latino
1989,183029,127248,0.458040847,0.318445611,AS,white
1990,194081,130927,0.461222395,0.311140526,AS,white
1991,211719,143816,0.468773041,0.318427083,AS,white
1992,221387,143137,0.474623109,0.306865931,AS,white
1993,225080,146835,0.467128925,0.304739985,AS,white
1994,234141,156097,0.469885248,0.313262853,AS,white
1995,229811,150092,0.462739942,0.302220361,AS,white
1996,230011,148231,0.46100671,0.297096598,AS,white
1997,232989,146176,0.457802562,0.287222776,AS,white
1998,230859,146116,0.450049126,0.2848465,AS,white
1999,224604,136662,0.449311342,0.273386879,AS,white
2000,220196,143224,0.433038998,0.281665323,AS,white
2001,218539,143891,0.421672613,0.277638746,AS,white
2002,219091,138558,0.420332174,0.265827375,AS,white
2003,226545,150342,0.409159376,0.271530331,AS,white
2004,233948,146075,0.412261333,0.257412221,AS,white
2005,246895,158837,0.407205154,0.261970656,AS,white
2006,251299,161513,0.406007251,0.260945921,AS,white
2007,252872,163990,0.400784223,0.259912544,AS,white
2008,254668,164624,0.39651237,0.25631588,AS,white
2009,257680,169772,0.389024344,0.256307983,AS,white
2010,266416,179670,0.377242219,0.254410807,AS,white
2011,274730,181089,0.371978093,0.245190335,AS,white
2012,295198,196230,0.3649299,0.242583603,AS,white
2013,299241,197500,0.36104636,0.238291732,AS,white
2014,299247,199911,0.351560215,0.234858675,AS,white
2015,301132,202774,0.341300317,0.229822239,AS,white
2016,298190,201595,0.328697029,0.22221965,AS,white
2017,291610,201750,0.317087333,0.21937646,AS,white
1989,2223,1716,0.002199716,0.001698026,BS,native
1990,2444,1798,0.002336529,0.001718936,BS,native
1991,2562,1862,0.002357349,0.001713265,BS,native
1992,2959,2134,0.002611314,0.001883252,BS,native
1993,3158,2392,0.002720106,0.002060321,BS,native
1994,3492,2558,0.00299951,0.002197236,BS,native
1995,3767,2631,0.003273654,0.00228643,BS,native
1996,3947,2766,0.003419717,0.002396488,BS,native
1997,4268,2870,0.003679317,0.002474142,BS,native
1998,4583,3032,0.003901857,0.002581372,BS,native
1999,5048,3270,0.004236132,0.002744087,BS,native
2000,4996,3305,0.004087276,0.002703852,BS,native
2001,5248,3617,0.004100862,0.002826375,BS,native
2002,5412,3394,0.004064751,0.002549106,BS,native
2003,5817,3559,0.004209556,0.002575522,BS,native
2004,5995,3792,0.00419442,0.002653084,BS,native
2005,5891,3883,0.004007238,0.002641335,BS,native
2006,6387,3881,0.004249433,0.002582128,BS,native
2007,6474,4133,0.004210261,0.002687829,BS,native
2008,6458,4144,0.00411573,0.002641001,BS,native
2009,6775,4383,0.004234177,0.002739247,BS,native
2010,6851,4378,0.004174044,0.002667343,BS,native
2011,6433,4279,0.003825605,0.002544655,BS,native
2012,6205,3963,0.003560598,0.002274077,BS,native
2013,6047,4099,0.003381944,0.002292474,BS,native
2014,5856,3671,0.003216745,0.002016508,BS,native
2015,5414,3622,0.002911492,0.001947806,BS,native
2016,5395,3443,0.002840085,0.001812495,BS,native
2017,5320,3432,0.002738959,0.001766937,BS,native
1989,18212,18906,0.018021245,0.018707976,BS,pacificIslander
1990,18858,18914,0.01802875,0.018082287,BS,pacificIslander
1991,20740,20357,0.019083302,0.018730896,BS,pacificIslander
1992,23232,22845,0.020502212,0.020160685,BS,pacificIslander
1993,25552,24487,0.022008917,0.021091591,BS,pacificIslander
1994,28010,26058,0.024059647,0.022382944,BS,pacificIslander
1995,30590,27901,0.026583772,0.024246938,BS,pacificIslander
1996,32683,29423,0.028316853,0.025492359,BS,pacificIslander
1997,35149,31244,0.030300914,0.026934529,BS,pacificIslander
1998,36884,32019,0.031402157,0.027260212,BS,pacificIslander
1999,38341,32490,0.032174635,0.027264648,BS,pacificIslander
2000,40049,33626,0.032764474,0.027509756,BS,pacificIslander
2001,42985,35043,0.03358909,0.027383098,BS,pacificIslander
2002,44889,36191,0.033714448,0.027181705,BS,pacificIslander
2003,47096,38328,0.034081699,0.027736609,BS,pacificIslander
2004,50053,39593,0.03501973,0.02770136,BS,pacificIslander
2005,52587,41594,0.035771279,0.028293506,BS,pacificIslander
2006,55388,43561,0.036851042,0.028982238,BS,pacificIslander
